Abenteuerreise; Reise
Abendessen; Essen
Abendkleid; Kleid
Abfallbehälter; Behälter
Abfahrtszeit; Zeit
Abteilungschef; Chef
Ackerland; Land
Adressbuch; Buch
Affenfels; Fels
Aktenschrank; Schrank
Alkoholgehalt; Gehalt
Alltagskleidung; Kleidung
Alpendorf; Dorf
Altglascontainer; Container
Ampelkreuzung; Kreuzung
Andenkensammlung; Sammlung
Angsttraum; Traum
Anlagenverzeichnis; Verzeichnis
Ankerkette; Kette
Anrufbeantworter; Beantworter
Anschlussgleis; Gleis
Anstecknadel; Nadel
Antwortkarte; Karte
Anwaltskanzlei; Kanzlei
Apfelbaum; Baum
Apfelkuchen; Kuchen
Apfelsaft; Saft
Arbeitsbuch; Buch
Arbeitskleidung; Kleidung
Arbeitsspeicher; Speicher
Arbeitsvertrag; Vertrag
Archivschrank; Schrank
Armbanduhr; Uhr
Armbinde; Binde
Artenvielfalt; Vielfalt
Aschenbecher; Becher
Asphaltspur; Spur
Assistenzhund; Hund
Atomkraftwerk; Kraftwerk
Auffahrtsrampe; Rampe
Aufgabenliste; Liste
Aufklärungsarbeit; Arbeit
Aufnahmeprüfung; Prüfung
Aufräumservice; Service
Aufsichtsbehörde; Behörde
Aufstiegskarriere; Karriere
Augenblick; Blick
Augenlicht; Licht
Ausbildungsplatz; Platz
Ausgangstor; Tor
Auslandsreise; Reise
Auslegware; Ware
Ausschusssitzung; Sitzung
Ausstellungsraum; Raum
Autobahn; Bahn
Autobahnbrücke; Brücke
Autofahrer; Fahrer
Autoklau; Klau
Automarke; Marke
Autopanne; Panne
Autoprüfung; Prüfung
Autosalon; Salon
Autoschein; Schein
Autostart; Start
Autotür; Tür
Achtungssignal; Signal
Abenteuergeschichte; Geschichte
Abwasserrohr; Rohr
Abstellgleis; Gleis
Abtrockenvorgang; Vorgang
Ackergerät; Gerät
Adaptionszeit; Zeit
Adressänderung; Änderung
Agenturauftrag; Auftrag
Aktenordner; Ordner
Aktivitätsplan; Plan
Albtraum; Traum
Algebrabuch; Buch
Alltagssorge; Sorge
Alpinausrüstung; Ausrüstung
Aluminiumfolie; Folie
Ameisenstraße; Straße
Amtsgericht; Gericht
Angstzustand; Zustand
Anlegestelle; Stelle
Annoncentext; Text
Antarktisexpedition; Expedition
Anwendungsgebiet; Gebiet
Apfelernte; Ernte
Arbeitsgruppe; Gruppe
Arbeitslosengeld; Geld
Archivraum; Raum
Armeefahrzeug; Fahrzeug
Arztpraxis; Praxis
Aspektwechsel; Wechsel
Assessmentcenter; Center
Atomenergie; Energie
Aufbauphase; Phase
Aufklärungsaktion; Aktion
Aufzugsschacht; Schacht
Ausbildungsland; Land
Ausgangsposition; Position
Ausnahmezustand; Zustand
Autokran; Kran
Anbaugebiet; Gebiet
Andenkenladen; Laden
Angsthase; Hase
Anrufversuch; Versuch
Anschlagtafel; Tafel
Antrittsrede; Rede
Anwaltschaft; Schaft
Arbeitsamt; Amt
